Category,Price_in_AUD,Rank,,,,,,,,,
MDMA,46627.79,D,,,,,,,,,
MDMA,44894.62,A,,,,,,,,,
Prescription,44385.51,A,,,,,,,,,
Prescription,44358.60,A,,,,,,,,,
Prescription,43239.34,D,,,,,,,,,
Prescription,43238.24,B,,,,,,,,,
Prescription,43195.33,A,,,,,,,,,
Prescription,42906.27,D,,,,,,,,,
Prescription,42652.43,E,,,,,,,,,
Prescription,41905.00,A,,,,,,,,,
MDMA,40990.62,B,,,,,,,,,
MDMA,40906.10,B,,,,,,,,,
MDMA,40608.55,C,,,,,,,,,
MDMA,40024.11,A,,,,,,,,,
MDMA,39281.74,A,,,,,,,,,
MDMA,38447.22,A,,,,,,,,,
MDMA,38289.72,A,,,,,,,,,
MDMA,37863.73,C,,,,,,,,,
MDMA,37766.00,B,,,,,,,,,
MDMA,37758.74,B,,,,,,,,,
MDMA,37729.06,D,,,,,,,,,
MDMA,37667.66,B,,,,,,,,,
MDMA,37433.02,A,,,,,,,,,
MDMA,37187.53,C,,,,,,,,,
MDMA,37077.16,D,,,,,,,,,
MDMA,37058.74,A,,,,,,,,,
MDMA,36966.61,F,,,,,,,,,
MDMA,36838.31,A,,,,,,,,,
MDMA,36835.11,D,,,,,,,,,
MDMA,36648.07,A,,,,,,,,,
MDMA,36595.90,A,,,,,,,,,
MDMA,36593.73,A,,,,,,,,,
MDMA,36310.53,B,,,,,,,,,
MDMA,36134.72,A,,,,,,,,,
MDMA,36073.68,A,,,,,,,,,
MDMA,36025.13,F,,,,,,,,,
Prescription,36025.13,B,,,,,,,,,
MDMA,35800.04,A,,,,,,,,,
Prescription,35467.86,D,,,,,,,,,
MDMA,35224.79,A,,,,,,,,,
MDMA,35020.44,B,,,,,,,,,
MDMA,34788.67,A,,,,,,,,,
MDMA,33659.57,A,,,,,,,,,
MDMA,33612.75,C,,,,,,,,,
MDMA,33473.34,A,,,,,,,,,
MDMA,33143.59,B,,,,,,,,,
MDMA,32735.23,A,,,,,,,,,
MDMA,32689.17,B,,,,,,,,,
MDMA,32582.93,C,,,,,,,,,
MDMA,32515.50,A,,,,,,,,,
MDMA,32447.94,C,,,,,,,,,
MDMA,31968.81,A,,,,,,,,,
MDMA,31866.96,B,,,,,,,,,
MDMA,31625.09,C,,,,,,,,,
MDMA,31202.79,B,,,,,,,,,
MDMA,31086.62,D,,,,,,,,,
MDMA,31070.94,D,,,,,,,,,
MDMA,30378.80,D,,,,,,,,,
MDMA,30101.95,B,,,,,,,,,
MDMA,30091.66,A,,,,,,,,,
MDMA,30064.54,D,,,,,,,,,
MDMA,29961.42,A,,,,,,,,,
MDMA,29561.67,C,,,,,,,,,
MDMA,29145.75,F,,,,,,,,,
MDMA,28949.12,A,,,,,,,,,
MDMA,28556.87,A,,,,,,,,,
MDMA,27542.57,B,,,,,,,,,
MDMA,27277.28,D,,,,,,,,,
MDMA,27273.47,B,,,,,,,,,
MDMA,26886.21,C,,,,,,,,,
MDMA,26853.04,A,,,,,,,,,
MDMA,26265.32,B,,,,,,,,,
MDMA,26092.98,D,,,,,,,,,
MDMA,26041.51,A,,,,,,,,,
MDMA,25972.42,E,,,,,,,,,
MDMA,25900.34,A,,,,,,,,,
MDMA,25712.85,B,,,,,,,,,
MDMA,25516.41,B,,,,,,,,,
MDMA,25410.66,A,,,,,,,,,
MDMA,25409.65,D,,,,,,,,,
MDMA,25224.25,A,,,,,,,,,
MDMA,25180.78,F,,,,,,,,,
MDMA,24897.28,A,,,,,,,,,
MDMA,24661.03,D,,,,,,,,,
MDMA,24580.87,D,,,,,,,,,
MDMA,24481.21,C,,,,,,,,,
MDMA,24357.24,D,,,,,,,,,
MDMA,24331.46,A,,,,,,,,,
MDMA,22764.97,A,,,,,,,,,
MDMA,22355.30,B,,,,,,,,,
MDMA,22130.90,B,,,,,,,,,
MDMA,22107.77,B,,,,,,,,,
MDMA,22081.95,C,,,,,,,,,
MDMA,22079.24,C,,,,,,,,,
MDMA,22075.65,E,,,,,,,,,
MDMA,22024.26,A,,,,,,,,,
MDMA,21408.55,A,,,,,,,,,
MDMA,21341.86,A,,,,,,,,,
MDMA,21259.55,A,,,,,,,,,
MDMA,21029.65,C,,,,,,,,,
MDMA,20862.15,F,,,,,,,,,
MDMA,20841.91,D,,,,,,,,,
MDMA,20722.52,B,,,,,,,,,
MDMA,20513.46,A,,,,,,,,,
MDMA,20482.78,B,,,,,,,,,
MDMA,20404.51,B,,,,,,,,,
MDMA,20164.68,F,,,,,,,,,
Prescription,20086.94,A,,,,,,,,,
MDMA,20079.53,A,,,,,,,,,
MDMA,20079.53,A,,,,,,,,,
MDMA,19957.47,C,,,,,,,,,
MDMA,19914.09,A,,,,,,,,,
MDMA,19743.17,C,,,,,,,,,
MDMA,19736.95,C,,,,,,,,,
Ecstasy,19705.23,C,,,,,,,,,
Ecstasy,19531.05,F,,,,,,,,,
Ecstasy,19451.83,B,,,,,,,,,
Prescription,19424.32,B,,,,,,,,,
Prescription,19392.74,B,,,,,,,,,
Prescription,19350.96,D,,,,,,,,,
Ecstasy,19273.16,C,,,,,,,,,
Ecstasy,19252.44,A,,,,,,,,,
Ecstasy,19239.11,A,,,,,,,,,
Ecstasy,19116.95,A,,,,,,,,,
Ecstasy,19053.98,E,,,,,,,,,
Ecstasy,18997.06,A,,,,,,,,,
Ecstasy,18826.50,E,,,,,,,,,
Ecstasy,18813.24,A,,,,,,,,,
Ecstasy,18786.82,A,,,,,,,,,
Ecstasy,18749.90,A,,,,,,,,,
Ecstasy,18741.81,B,,,,,,,,,
Ecstasy,18696.55,B,,,,,,,,,
Ecstasy,18681.61,A,,,,,,,,,
Ecstasy,18662.62,A,,,,,,,,,
Ecstasy,18593.77,B,,,,,,,,,
Ecstasy,18450.21,A,,,,,,,,,
Ecstasy,18412.96,A,,,,,,,,,
Ecstasy,18412.84,B,,,,,,,,,
Ecstasy,18309.63,A,,,,,,,,,
Ecstasy,18262.60,A,,,,,,,,,
Ecstasy,18012.68,F,,,,,,,,,
Ecstasy,17567.41,B,,,,,,,,,
Ecstasy,17431.97,C,,,,,,,,,
Ecstasy,17425.36,B,,,,,,,,,
Ecstasy,17314.35,B,,,,,,,,,
Ecstasy,17094.17,D,,,,,,,,,
Ecstasy,16818.54,A,,,,,,,,,
Ecstasy,16811.83,C,,,,,,,,,
Ecstasy,16743.33,A,,,,,,,,,
Ecstasy,16615.12,B,,,,,,,,,
Ecstasy,16559.04,B,,,,,,,,,
Ecstasy,16453.22,B,,,,,,,,,
Ecstasy,16287.91,A,,,,,,,,,
Ecstasy,16230.33,A,,,,,,,,,
Ecstasy,16220.37,C,,,,,,,,,
Ecstasy,16214.93,A,,,,,,,,,
Ecstasy,16179.10,A,,,,,,,,,
Ecstasy,16033.64,C,,,,,,,,,
Ecstasy,15989.11,A,,,,,,,,,
Ecstasy,15974.11,A,,,,,,,,,
Ecstasy,15543.42,A,,,,,,,,,
Ecstasy,15416.62,E,,,,,,,,,
Ecstasy,15403.25,B,,,,,,,,,
Ecstasy,15238.54,C,,,,,,,,,
Ecstasy,15202.59,F,,,,,,,,,
Ecstasy,15132.64,D,,,,,,,,,
Ecstasy,15075.47,D,,,,,,,,,
Ecstasy,15071.07,A,,,,,,,,,
Ecstasy,14935.89,A,,,,,,,,,
Ecstasy,14931.84,A,,,,,,,,,
Ecstasy,14903.65,D,,,,,,,,,
Ecstasy,14811.59,C,,,,,,,,,
Ecstasy,14811.52,B,,,,,,,,,
Ecstasy,14686.53,D,,,,,,,,,
Ecstasy,14624.99,B,,,,,,,,,
Ecstasy,14565.26,B,,,,,,,,,
Ecstasy,14516.02,A,,,,,,,,,
Ecstasy,14448.75,A,,,,,,,,,
Ecstasy,14431.19,D,,,,,,,,,
Ecstasy,14389.23,C,,,,,,,,,
Ecstasy,14351.32,C,,,,,,,,,
Ecstasy,14350.49,D,,,,,,,,,
Ecstasy,14320.30,C,,,,,,,,,
Ecstasy,14311.57,C,,,,,,,,,
Ecstasy,14308.75,A,,,,,,,,,
Ecstasy,14249.36,D,,,,,,,,,
Ecstasy,14204.38,C,,,,,,,,,
Ecstasy,14197.68,F,,,,,,,,,
Ecstasy,14186.91,B,,,,,,,,,
Ecstasy,14000.35,F,,,,,,,,,
Ecstasy,13972.09,D,,,,,,,,,
Ecstasy,13878.12,D,,,,,,,,,
Ecstasy,13699.88,C,,,,,,,,,
Ecstasy,13665.58,D,,,,,,,,,
Ecstasy,13589.80,B,,,,,,,,,
Ecstasy,13517.03,A,,,,,,,,,
Ecstasy,13424.62,A,,,,,,,,,
Ecstasy,13368.34,C,,,,,,,,,
Ecstasy,13345.32,A,,,,,,,,,
Ecstasy,13175.58,D,,,,,,,,,
Ecstasy,13171.10,A,,,,,,,,,
Ecstasy,13129.67,D,,,,,,,,,
Ecstasy,13101.56,A,,,,,,,,,
Ecstasy,13101.43,A,,,,,,,,,
Ecstasy,12954.71,F,,,,,,,,,
Ecstasy,12873.09,A,,,,,,,,,
Ecstasy,12806.61,A,,,,,,,,,
Ecstasy,12759.97,A,,,,,,,,,
Ecstasy,12679.19,D,,,,,,,,,
Ecstasy,12665.77,D,,,,,,,,,
Ecstasy,12632.68,A,,,,,,,,,
Ecstasy,12617.79,A,,,,,,,,,
Ecstasy,12587.84,C,,,,,,,,,
Ecstasy,12447.06,A,,,,,,,,,
Ecstasy,12424.69,A,,,,,,,,,
Ecstasy,12394.73,A,,,,,,,,,
Ecstasy,12279.44,B,,,,,,,,,
Ecstasy,12264.41,A,,,,,,,,,
Ecstasy,12203.58,F,,,,,,,,,
Ecstasy,12130.85,A,,,,,,,,,
Ecstasy,11975.71,E,,,,,,,,,
Ecstasy,11963.83,A,,,,,,,,,
Ecstasy,11831.55,A,,,,,,,,,
Ecstasy,11791.21,D,,,,,,,,,
Ecstasy,11563.57,B,,,,,,,,,
Ecstasy,11445.50,C,,,,,,,,,
Ecstasy,11432.39,C,,,,,,,,,
