 Category, Price_in_AUD,Rank,,,,,,,,,
MDMA,72420.69,A,,,,,,,,,
Prescription,17567.41,A,,,,,,,,,
Prescription,5555.83,A,,,,,,,,,
Prescription,4937.87,D,,,,,,,,,
Prescription,4290.27,B,,,,,,,,,
Prescription,886.91,A,,,,,,,,,
Prescription,40990.62,D,,,,,,,,,
Prescription,2226.45,E,,,,,,,,,
Prescription,8783.7,A,,,,,,,,,
MDMA,54462.45,B,,,,,,,,,
MDMA,22355.3,B,,,,,,,,,
MDMA,20482.78,C,,,,,,,,,
MDMA,10131.54,A,,,,,,,,,
MDMA,19392.74,A,,,,,,,,,
MDMA,9350.82,A,,,,,,,,,
MDMA,39281.74,A,,,,,,,,,
MDMA,14249.36,C,,,,,,,,,
MDMA,36310.53,B,,,,,,,,,
MDMA,1031494.36,B,,,,,,,,,
MDMA,26265.32,D,,,,,,,,,
MDMA,16559.04,B,,,,,,,,,
MDMA,58743.2,A,,,,,,,,,
MDMA,272858.61,C,,,,,,,,,
MDMA,68821.99,D,,,,,,,,,
MDMA,123857.56,A,,,,,,,,,
MDMA,70053.92,F,,,,,,,,,
MDMA,294984.3,A,,,,,,,,,
MDMA,20862.15,D,,,,,,,,,
MDMA,40906.1,A,,,,,,,,,
MDMA,28556.87,A,,,,,,,,,
MDMA,55085.22,A,,,,,,,,,
MDMA,5367.15,B,,,,,,,,,
MDMA,61449.8,A,,,,,,,,,
MDMA,32735.23,A,,,,,,,,,
MDMA,21408.55,F,,,,,,,,,
Prescription,37058.74,B,,,,,,,,,
MDMA,116341.73,A,,,,,,,,,
Prescription,4042.58,D,,,,,,,,,
MDMA,6973.72,A,,,,,,,,,
MDMA,16220.37,B,,,,,,,,,
MDMA,57075.54,A,,,,,,,,,
MDMA,373698.73,A,,,,,,,,,
MDMA,31202.79,C,,,,,,,,,
MDMA,304673.23,A,,,,,,,,,
MDMA,2603080.95,B,,,,,,,,,
MDMA,16230.33,A,,,,,,,,,
MDMA,52002.9,B,,,,,,,,,
MDMA,3389633.91,C,,,,,,,,,
MDMA,31070.94,A,,,,,,,,,
MDMA,331245503.2,C,,,,,,,,,
MDMA,33473.34,A,,,,,,,,,
MDMA,18450.21,B,,,,,,,,,
MDMA,10787.51,C,,,,,,,,,
MDMA,8729.81,B,,,,,,,,,
MDMA,12873.09,D,,,,,,,,,
MDMA,20513.46,D,,,,,,,,,
MDMA,233313.94,D,,,,,,,,,
MDMA,38289.72,B,,,,,,,,,
MDMA,16615.12,A,,,,,,,,,
MDMA,916245.52,D,,,,,,,,,
MDMA,32447.94,A,,,,,,,,,
MDMA,171344.77,C,,,,,,,,,
MDMA,148318.17,F,,,,,,,,,
MDMA,21259.55,A,,,,,,,,,
MDMA,29961.42,A,,,,,,,,,
MDMA,105121.12,B,,,,,,,,,
MDMA,452986.22,D,,,,,,,,,
MDMA,54651.58,B,,,,,,,,,
MDMA,36593.73,C,,,,,,,,,
MDMA,68710.91,A,,,,,,,,,
MDMA,40608.55,B,,,,,,,,,
MDMA,7792.53,D,,,,,,,,,
MDMA,109259.82,A,,,,,,,,,
MDMA,351461.96,E,,,,,,,,,
MDMA,160702.8,A,,,,,,,,,
MDMA,54510.63,B,,,,,,,,,
