State,State Name,Latitude,Longitude,Total Crime Report2021
NSW,New South Wales,-31.840233,145.612793,211530
VIC,Victoria,-37.0201,144.9646,157628
QLD,Queensland,-20.917574,142.702789,175373
SA,South Australia,-30.000233,136.209152,76706
WA,Western Australia,-25.042261,117.793221,135960
TAS,Tasmania,,,14468
NT,Northern Territory,-19.491411,132.550964,21607
ACT,Australia Captial Territory,,,13766
