"Percentage movement in prisoners 2020 to 2021, Selected characteristics"
,"Percentage movement"
"All prisoners","4.7"
"Males","4.7"
"Females","4.7"
"Sentenced","-0.6"
"Unsentenced","15.9"
"Prior imprisonment","5.4"
"No prior imprisonment","3.6"

"Source: Australian Bureau of Statistics, Prisoners in Australia 2021"
